crn,dept,course_id,instructor,title,modality,credits,capacity,days,start_time,end_time,location
91217,AAEC,AAEC 6314,A Gupta,Topics Applied Dev Econ,F2F,3,30,T R,2:00PM,3:15PM,SAUND 408
91055,AAEC,AAEC 6524,W Zhang,Env Theory & Policy Analysis,F2F,4,30,T R,3:30PM,4:45PM,HUTCH 207
80113,ACIS,ACIS 1004,JM Lacoste,Accounting Foundations,OnlineAsync,3,400,(ARR),(ARR),(ARR),00X
80114,ACIS,ACIS 1104,DR Compton,Careers in ACIS,F2F,1,125,M,5:30PM,6:20PM,NCB 320
80115,ACIS,ACIS 1504,JP Sharp,Intro to Bus Analytics & BI,OnlineAsync,3,3,(ARR),(ARR),(ARR),00X
80116,ACIS,ACIS 1504,JP Sharp,Intro to Bus Analytics & BI,OnlineAsync,3,3,(ARR),(ARR),(ARR),00X
80117,ACIS,ACIS 1504,JP Sharp,Intro to Bus Analytics & BI,OnlineAsync,3,3,(ARR),(ARR),(ARR),00X
80118,ACIS,ACIS 1504,JP Sharp,Intro to Bus Analytics & BI,OnlineAsync,3,3,(ARR),(ARR),(ARR),00X
80119,ACIS,ACIS 1504,JP Sharp,Intro to Bus Analytics & BI,OnlineAsync,3,3,(ARR),(ARR),(ARR),00X
80120,ACIS,ACIS 1504,JP Sharp,Intro to Bus Analytics & BI,OnlineAsync,3,3,(ARR),(ARR),(ARR),00X
80121,ACIS,ACIS 2115,RA Brassine,Principles of Accounting,F2F,3,59,M W F,10:10AM,11:00AM,DER 3083
80122,ACIS,ACIS 2115,RA Brassine,Principles of Accounting,F2F,3,59,M W F,1:25PM,2:15PM,DER 3083
80123,ACIS,ACIS 2115,RA Brassine,Principles of Accounting,F2F,3,59,M W F,11:15AM,12:05PM,DER 3081
90634,ACIS,ACIS 2115,RA Brassine,Principles of Accounting,F2F,3,59,M W F,9:05AM,9:55AM,DER 3081
80124,ACIS,ACIS 2115,G Kogan,Principles of Accounting,OnlineAsync,3,223,(ARR),(ARR),(ARR),CTE
80125,ACIS,ACIS 2116,EA Martin,Principles of Accounting,F2F,3,0,M W,4:00PM,5:15PM,DER 3083
80126,ACIS,ACIS 2116,JL Shortt,Principles of Accounting,F2F,3,59,M W,4:00PM,5:15PM,DER 3081
80127,ACIS,ACIS 2116,EA Martin,Principles of Accounting,F2F,3,59,M W F,12:20PM,1:10PM,DDS 180
80128,ACIS,ACIS 2116,EA Martin,Principles of Accounting,F2F,3,59,M W F,11:15AM,12:05PM,DDS 180
80129,ACIS,ACIS 2116,EA Martin,Principles of Accounting,F2F,3,59,M W F,10:10AM,11:00AM,DDS 170
