crn,course,title,schedule_type,modality,cr_hrs,capacity,instructor,days,start_time,end_time,location,exam
80103,AAEC-5904,Project and Report,ONLINE COURSE - VR,Online: Asynchronous,1 TO 19,5,Staff,(ARR),----- (ARR) -----,ONLINE,00X,
80104,AAEC-5904,Project and Report,ONLINE COURSE - VR,Online: Asynchronous,1 TO 19,5,Staff,(ARR),----- (ARR) -----,ONLINE,00X,
90524,AAEC-5904,Project and Report,ONLINE COURSE - VR,Online: Asynchronous,1 TO 19,5,C Larochelle,(ARR),----- (ARR) -----,ONLINE,00X,
80105,AAEC-5946,Econometric Theory & Practice,L,Face-to-Face Instruction,3,40,CL Ta,T R,9:30AM,10:45AM,PAM 3001,09T
80106,AAEC-5974,Independent Study,I,,1 TO 19,0,Staff,(ARR),----- (ARR) -----,TBA,00X,
80107,AAEC-5974,Independent Study,ONLINE COURSE - VI,,1 TO 19,0,Staff,(ARR),----- (ARR) -----,ONLINE,00X,
80108,AAEC-5974,Independent Study,ONLINE COURSE - VI,,1 TO 19,0,Staff,(ARR),----- (ARR) -----,ONLINE,00X,
80109,AAEC-5994,Research and Thesis,R,,1 TO 19,5,MT Holt,(ARR),----- (ARR) -----,TBA,00X,
91257,AAEC-5994,Research and Thesis,R,,1 TO 19,0,BF Mills,(ARR),----- (ARR) -----,TBA,00X,
91258,AAEC-5994,Research and Thesis,R,,1 TO 19,5,W Zhang,(ARR),----- (ARR) -----,TBA,00X,
91260,AAEC-5994,Research and Thesis,R,,1 TO 19,5,Staff,(ARR),----- (ARR) -----,TBA,00X,
91262,AAEC-5994,Research and Thesis,R,,1 TO 19,5,O Isengildina Massa,(ARR),----- (ARR) -----,TBA,00X,
91263,AAEC-5994,Research and Thesis,R,,1 TO 19,5,SE Chen,(ARR),----- (ARR) -----,TBA,00X,
91265,AAEC-5994,Research and Thesis,R,,1 TO 19,5,J Friedel,(ARR),----- (ARR) -----,TBA,00X,
80110,AAEC-6004,Research & Prof Dev Seminar,L,Face-to-Face Instruction,1,30,C Holmes,W,12:20PM,1:10PM,SMYTH 331,00X
91217,AAEC-6314,Topics Applied Dev Econ,L,Face-to-Face Instruction,3,30,A Gupta,T R,2:00PM,3:15PM,SAUND 408,14T
91055,AAEC-6524,Env Theory & Policy Analysis,L,Face-to-Face Instruction,4,30,W Zhang,T R,3:30PM,4:45PM,HUTCH 207,15T
80112,AAEC-7994,Research and Dissertation,R,,1 TO 19,5,MT Holt,(ARR),----- (ARR) -----,TBA,00X,
