crn,course,title,schedule_type,modality,cr_hrs,capacity,instructor,days,start_time,end_time,location,exam
80838,APSC-4994,Undergraduate Research,R,,1 TO 19,0,AD Ealy,(ARR),----- (ARR) -----,TBA,00X,
80839,APSC-4994,Undergraduate Research,R,,1 TO 19,0,EN Feuerbacher,(ARR),----- (ARR) -----,TBA,00X,
80840,APSC-4994,Undergraduate Research,R,,1 TO 19,0,AS Andrukonis,(ARR),----- (ARR) -----,TBA,00X,
80841,APSC-4994,Undergraduate Research,R,,1 TO 19,0,ME Persia,(ARR),----- (ARR) -----,TBA,00X,
80842,APSC-4994,Undergraduate Research,R,,1 TO 19,0,EN Feuerbacher,(ARR),----- (ARR) -----,TBA,00X,
80843,APSC-4994,Undergraduate Research,R,,1 TO 19,0,R White,(ARR),----- (ARR) -----,TBA,00X,
80844,APSC-4994,Undergraduate Research,R,,1 TO 19,0,EN Feuerbacher,(ARR),----- (ARR) -----,TBA,00X,
80845,APSC-4994,Undergraduate Research,R,,1 TO 19,0,EJ Smith,(ARR),----- (ARR) -----,TBA,00X,
80846,APSC-5014,Professional Dev/Grad Students,L,Face-to-Face Instruction,2,20,JW Knight,R,8:00AM,9:50AM,LITRV 3720,08R
80847,APSC-5134,Appl Behavior Analysis Animals,ONLINE COURSE - VL,Online: Asynchronous,3,25,EN Feuerbacher,(ARR),----- (ARR) -----,ONLINE,00X,
90616,APSC-5154,Behv Biol Domesticated Animals,ONLINE COURSE - VL,Online: Asynchronous,3,25,JP Hekman,(ARR),----- (ARR) -----,ONLINE,00X,
80848,APSC-5164,Appl Ethol Dom Animals,ONLINE COURSE - VL,Online: Asynchronous,3,25,EN Feuerbacher,(ARR),----- (ARR) -----,ONLINE,00X,
90525,APSC-5224,Animal Welfare Assessment,ONLINE COURSE - VL,Online: Asynchronous,3,10,L Jacobs,(ARR),----- (ARR) -----,ONLINE,00X,
91406,APSC-5234,Applic of Applied Animal Behav,ONLINE COURSE - VL,Online: Asynchronous,3,25,K Spaulding,(ARR),----- (ARR) -----,ONLINE,00X,
91725,APSC-5344,Mammalian Embryology,L,Face-to-Face Instruction,3,10,AD Ealy,T R,9:30AM,10:45AM,ETGENC 108,09T
80850,APSC-5444,Contemp Issues Reprod Biology,ONLINE COURSE - VL,Online with Synchronous Mtgs.,3,20,AD Ealy,W,1:00PM,3:00PM,ONLINE,13W
80851,APSC-5904,Project and Report,R,,1 TO 19,99,M Rhoads,(ARR),----- (ARR) -----,TBA,00X,
80852,APSC-5904,Project and Report,R,,1 TO 19,0,FH Biase,(ARR),----- (ARR) -----,TBA,00X,
80853,APSC-5904,Project and Report,R,,1 TO 19,99,L Jacobs,(ARR),----- (ARR) -----,TBA,00X,
80854,APSC-5904,Project and Report,R,,1 TO 19,99,AD Ealy,(ARR),----- (ARR) -----,TBA,00X,
80855,APSC-5904,Project and Report,R,,1 TO 19,99,DE Gerrard,(ARR),----- (ARR) -----,TBA,00X,
80856,APSC-5904,Project and Report,R,,1 TO 19,99,SE Johnson,(ARR),----- (ARR) -----,TBA,00X,
80857,APSC-5904,Project and Report,R,,1 TO 19,99,CM Wood,(ARR),----- (ARR) -----,TBA,00X,
80858,APSC-5904,Project and Report,R,,1 TO 19,99,S Campbell,(ARR),----- (ARR) -----,TBA,00X,
80859,APSC-5904,Project and Report,R,,1 TO 19,99,JJ Maurer,(ARR),----- (ARR) -----,TBA,00X,
80860,APSC-5904,Project and Report,R,,1 TO 19,99,EN Feuerbacher,(ARR),----- (ARR) -----,TBA,00X,
80861,APSC-5904,Project and Report,R,,1 TO 19,99,VR Mercadante,(ARR),----- (ARR) -----,TBA,00X,
80862,APSC-5904,Project and Report,ONLINE COURSE - VR,,1 TO 19,0,JP Hekman,(ARR),----- (ARR) -----,ONLINE,00X,
80863,APSC-5904,Project and Report,ONLINE COURSE - VR,,1 TO 19,0,L Bergamasco,(ARR),----- (ARR) -----,ONLINE,00X,
80864,APSC-5904,Project and Report,ONLINE COURSE - VR,,1 TO 19,0,LM Gunter,(ARR),----- (ARR) -----,ONLINE,00X,
80865,APSC-5904,Project and Report,ONLINE COURSE - VR,,1 TO 19,0,EN Feuerbacher,(ARR),----- (ARR) -----,ONLINE,00X,
90526,APSC-5904,Project and Report,ONLINE COURSE - VR,Online: Asynchronous,1 TO 19,0,JE Jones,(ARR),----- (ARR) -----,ONLINE,00X,
80866,APSC-5974,Independent Study,I,,1 TO 19,0,Staff,(ARR),----- (ARR) -----,TBA,00X,
80867,APSC-5974,Independent Study,I,,1 TO 19,9999,Staff,(ARR),----- (ARR) -----,TBA,00X,
80868,APSC-5994,Research and Thesis,R,,1 TO 19,99,SW El-Kadi,(ARR),----- (ARR) -----,TBA,00X,
80869,APSC-5994,Research and Thesis,R,,1 TO 19,99,ER Gilbert,(ARR),----- (ARR) -----,TBA,00X,
80870,APSC-5994,Research and Thesis,R,,1 TO 19,99,VR Mercadante,(ARR),----- (ARR) -----,TBA,00X,
80871,APSC-5994,Research and Thesis,R,,1 TO 19,99,MA Cline,(ARR),----- (ARR) -----,TBA,00X,
80872,APSC-5994,Research and Thesis,R,,1 TO 19,99,DE Gerrard,(ARR),----- (ARR) -----,TBA,00X,
80873,APSC-5994,Research and Thesis,R,,1 TO 19,99,EA Wong,(ARR),----- (ARR) -----,TBA,00X,
80874,APSC-5994,Research and Thesis,R,,1 TO 19,0,Staff,(ARR),----- (ARR) -----,TBA,00X,
80875,APSC-5994,Research and Thesis,R,,1 TO 19,99,JJ Maurer,(ARR),----- (ARR) -----,TBA,00X,
80876,APSC-5994,Research and Thesis,R,,1 TO 19,99,BA Corl,(ARR),----- (ARR) -----,TBA,00X,
80877,APSC-5994,Research and Thesis,R,,1 TO 19,99,R Cockrum,(ARR),----- (ARR) -----,TBA,00X,
80878,APSC-5994,Research and Thesis,R,,1 TO 19,99,FH Biase,(ARR),----- (ARR) -----,TBA,00X,
80879,APSC-5994,Research and Thesis,R,,1 TO 19,99,KM Daniels,(ARR),----- (ARR) -----,TBA,00X,
80880,APSC-5994,Research and Thesis,R,,1 TO 19,99,Staff,(ARR),----- (ARR) -----,TBA,00X,
80881,APSC-5994,Research and Thesis,R,,1 TO 19,99,RP Rhoads,(ARR),----- (ARR) -----,TBA,00X,
80882,APSC-5994,Research and Thesis,R,,1 TO 19,99,EJ Smith,(ARR),----- (ARR) -----,TBA,00X,
80883,APSC-5994,Research and Thesis,R,,1 TO 19,99,MD Hanigan,(ARR),----- (ARR) -----,TBA,00X,
80884,APSC-5994,Research and Thesis,R,,1 TO 19,99,H Jiang,(ARR),----- (ARR) -----,TBA,00X,
80885,APSC-5994,Research and Thesis,R,,1 TO 19,99,KF Knowlton,(ARR),----- (ARR) -----,TBA,00X,
80886,APSC-5994,Research and Thesis,R,,1 TO 19,99,Staff,(ARR),----- (ARR) -----,TBA,00X,
80887,APSC-5994,Research and Thesis,R,,1 TO 19,99,PB Siegel,(ARR),----- (ARR) -----,TBA,00X,
80888,APSC-5994,Research and Thesis,R,,1 TO 19,99,ME Persia,(ARR),----- (ARR) -----,TBA,00X,
80889,APSC-5994,Research and Thesis,R,,1 TO 19,99,Staff,(ARR),----- (ARR) -----,TBA,00X,
80890,APSC-5994,Research and Thesis,R,,1 TO 19,99,R White,(ARR),----- (ARR) -----,TBA,00X,
80891,APSC-5994,Research and Thesis,R,,1 TO 19,99,M Rhoads,(ARR),----- (ARR) -----,TBA,00X,
80892,APSC-5994,Research and Thesis,R,,1 TO 19,99,EN Feuerbacher,(ARR),----- (ARR) -----,TBA,00X,
80893,APSC-5994,Research and Thesis,R,,1 TO 19,99,S Campbell,(ARR),----- (ARR) -----,TBA,00X,
80894,APSC-5994,Research and Thesis,R,,1 TO 19,99,SE Johnson,(ARR),----- (ARR) -----,TBA,00X,
80895,APSC-5994,Research and Thesis,R,,1 TO 19,99,T Jarome,(ARR),----- (ARR) -----,TBA,00X,
80896,APSC-5994,Research and Thesis,R,,1 TO 19,99,Staff,(ARR),----- (ARR) -----,TBA,00X,
80897,APSC-5994,Research and Thesis,R,,1 TO 19,99,SP Greiner,(ARR),----- (ARR) -----,TBA,00X,
80898,APSC-5994,Research and Thesis,R,,1 TO 19,99,G Ferreira,(ARR),----- (ARR) -----,TBA,00X,
80899,APSC-5994,Research and Thesis,R,,1 TO 19,99,MJ Estienne,(ARR),----- (ARR) -----,TBA,00X,
80900,APSC-5994,Research and Thesis,R,,1 TO 19,99,CS Petersson-Wolfe,(ARR),----- (ARR) -----,TBA,00X,
80901,APSC-5994,Research and Thesis,R,,1 TO 19,99,L Jacobs,(ARR),----- (ARR) -----,TBA,00X,
80902,APSC-5994,Research and Thesis,R,,1 TO 19,99,ET Helm,(ARR),----- (ARR) -----,TBA,00X,
80903,APSC-5994,Research and Thesis,R,,1 TO 19,99,AD Ealy,(ARR),----- (ARR) -----,TBA,00X,
80904,APSC-7994,Research and Dissertation,R,,1 TO 19,99,ME Persia,(ARR),----- (ARR) -----,TBA,00X,
80905,APSC-7994,Research and Dissertation,R,,1 TO 19,99,C Chen,(ARR),----- (ARR) -----,TBA,00X,
80906,APSC-7994,Research and Dissertation,R,,1 TO 19,99,SE Johnson,(ARR),----- (ARR) -----,TBA,00X,
80907,APSC-7994,Research and Dissertation,R,,1 TO 19,99,DE Gerrard,(ARR),----- (ARR) -----,TBA,00X,
80908,APSC-7994,Research and Dissertation,R,,1 TO 19,99,MD Hanigan,(ARR),----- (ARR) -----,TBA,00X,
80909,APSC-7994,Research and Dissertation,R,,1 TO 19,99,BA Corl,(ARR),----- (ARR) -----,TBA,00X,
80910,APSC-7994,Research and Dissertation,R,,1 TO 19,99,A Ali,(ARR),----- (ARR) -----,TBA,00X,
80911,APSC-7994,Research and Dissertation,R,,1 TO 19,99,CS Petersson-Wolfe,(ARR),----- (ARR) -----,TBA,00X,
80912,APSC-7994,Research and Dissertation,R,,1 TO 19,99,MJ Estienne,(ARR),----- (ARR) -----,TBA,00X,
80913,APSC-7994,Research and Dissertation,R,,1 TO 19,99,SP Greiner,(ARR),----- (ARR) -----,TBA,00X,
80914,APSC-7994,Research and Dissertation,R,,1 TO 19,99,KF Knowlton,(ARR),----- (ARR) -----,TBA,00X,
80915,APSC-7994,Research and Dissertation,R,,1 TO 19,99,EJ Smith,(ARR),----- (ARR) -----,TBA,00X,
80916,APSC-7994,Research and Dissertation,R,,1 TO 19,99,Staff,(ARR),----- (ARR) -----,TBA,00X,
80917,APSC-7994,Research and Dissertation,R,,1 TO 19,99,G Ferreira,(ARR),----- (ARR) -----,TBA,00X,
80918,APSC-7994,Research and Dissertation,R,,1 TO 19,99,PB Siegel,(ARR),----- (ARR) -----,TBA,00X,
80919,APSC-7994,Research and Dissertation,R,,1 TO 19,99,Staff,(ARR),----- (ARR) -----,TBA,00X,
80920,APSC-7994,Research and Dissertation,R,,1 TO 19,99,AD Ealy,(ARR),----- (ARR) -----,TBA,00X,
80921,APSC-7994,Research and Dissertation,R,,1 TO 19,99,G Morota,(ARR),----- (ARR) -----,TBA,00X,
80922,APSC-7994,Research and Dissertation,R,,1 TO 19,99,EN Feuerbacher,(ARR),----- (ARR) -----,TBA,00X,
80923,APSC-7994,Research and Dissertation,R,,1 TO 19,99,S Campbell,(ARR),----- (ARR) -----,TBA,00X,
80924,APSC-7994,Research and Dissertation,R,,1 TO 19,99,T Jarome,(ARR),----- (ARR) -----,TBA,00X,
80925,APSC-7994,Research and Dissertation,R,,1 TO 19,99,SW El-Kadi,(ARR),----- (ARR) -----,TBA,00X,
80926,APSC-7994,Research and Dissertation,R,,1 TO 19,99,M Rhoads,(ARR),----- (ARR) -----,TBA,00X,
80927,APSC-7994,Research and Dissertation,R,,1 TO 19,99,H Jiang,(ARR),----- (ARR) -----,TBA,00X,
80928,APSC-7994,Research and Dissertation,R,,1 TO 19,99,RP Rhoads,(ARR),----- (ARR) -----,TBA,00X,
80929,APSC-7994,Research and Dissertation,R,,1 TO 19,99,KM Daniels,(ARR),----- (ARR) -----,TBA,00X,
80930,APSC-7994,Research and Dissertation,R,,1 TO 19,99,MA Cline,(ARR),----- (ARR) -----,TBA,00X,
80931,APSC-7994,Research and Dissertation,R,,1 TO 19,99,L Jacobs,(ARR),----- (ARR) -----,TBA,00X,
80932,APSC-7994,Research and Dissertation,R,,1 TO 19,99,JJ Maurer,(ARR),----- (ARR) -----,TBA,00X,
80933,APSC-7994,Research and Dissertation,R,,1 TO 19,99,FH Biase,(ARR),----- (ARR) -----,TBA,00X,
80934,APSC-7994,Research and Dissertation,R,,1 TO 19,0,Staff,(ARR),----- (ARR) -----,TBA,00X,
80935,APSC-7994,Research and Dissertation,R,,1 TO 19,99,ER Gilbert,(ARR),----- (ARR) -----,TBA,00X,
80936,APSC-7994,Research and Dissertation,R,,1 TO 19,99,R Cockrum,(ARR),----- (ARR) -----,TBA,00X,
80937,APSC-7994,Research and Dissertation,R,,1 TO 19,99,VR Mercadante,(ARR),----- (ARR) -----,TBA,00X,
80938,APSC-7994,Research and Dissertation,R,,1 TO 19,99,ET Helm,(ARR),----- (ARR) -----,TBA,00X,
80939,APSC-7994,Research and Dissertation,R,,1 TO 19,99,R White,(ARR),----- (ARR) -----,TBA,00X,
80940,APSC-7994,Research and Dissertation,R,,1 TO 19,99,Staff,(ARR),----- (ARR) -----,TBA,00X,
80941,ARBC-1105,Elementary Arabic,L,Face-to-Face Instruction,3,15,NA Sinno,M W,2:30PM,3:45PM,MCB 216,14M
80943,ARBC-1105,Elementary Arabic,L,Face-to-Face Instruction,3,15,JS Al Ahmad,M W F,11:15AM,12:05PM,DDS 240,11M
80944,ARBC-1105,Elementary Arabic,L,Face-to-Face Instruction,3,15,JS Al Ahmad,M W F,10:10AM,11:00AM,MCB 207,10M
80945,ARBC-1106,Elementary Arabic,L,Face-to-Face Instruction,3,15,A Azzam,M W F,12:20PM,1:10PM,SAUND 408,12M
91061,ARBC-1114,Accelerated Elementary Arabic,L,Face-to-Face Instruction,6,10,A Azzam,M W F,9:05AM,9:55AM,HOLD 244,09M
,,,,* Additional Times *,M W F,10:10AM,11:00AM,MAJWM 427,,,,
80946,ARBC-2105,Intermediate Arabic,L,Face-to-Face Instruction,3,15,R Nassereddine,M W F,9:05AM,9:55AM,MAJWM 334,09M
91059,ARBC-2105,Intermediate Arabic,L,Face-to-Face Instruction,3,15,JS Al Ahmad,M W F,1:25PM,2:15PM,DER 1084,13M
91057,ARBC-2106,Intermediate Arabic,L,Face-to-Face Instruction,3,10,R Nassereddine,M W F,10:10AM,11:00AM,MAJWM 327,10M
80947,ARBC-2774,Arab Culture and Civilization,L,Face-to-Face Instruction,3,25,WC Taggart,M W F,12:20PM,1:10PM,MCB 322,12M
80948,ARBC-2774,Arab Culture and Civilization,L,Face-to-Face Instruction,3,30,WC Taggart,M W,4:00PM,5:15PM,PAM 2002,16M
80949,ARBC-2974,Independent Study,I,,1 TO 19,0,NA Sinno,(ARR),----- (ARR) -----,TBA,00X,
80950,ARBC-3105,Advanced Arabic,L,Face-to-Face Instruction,3,15,R Nassereddine,M W F,1:25PM,2:15PM,DAV 125,13M
80951,ARBC-3474,Topics in Arab Cinema,L,Face-to-Face Instruction,3,30,WC Taggart,M W,2:30PM,3:45PM,DAV 125,14M
80952,ARBC-3514,Media Arabic,L,Face-to-Face Instruction,3,15,NA Sinno,M W,4:00PM,5:15PM,PAM 1010,16M
91066,ARBC-4104,"Adv Gram, Conv, and Culture",L,Face-to-Face Instruction,3,12,R Nassereddine,M W F,12:20PM,1:10PM,DAV 201,12M
80953,ARBC-4974,Independent Study,I,,1 TO 19,0,NA Sinno,(ARR),----- (ARR) -----,TBA,00X,
80954,ARBC-4994,Undergraduate Research,R,,1 TO 19,0,NA Sinno,(ARR),----- (ARR) -----,TBA,00X,
80955,ARCH-1015,Foundation Design Laboratory,B,Face-to-Face Instruction,6,0,Staff,M W F,8:00AM,11:50AM,CO 205,00X
80956,ARCH-1015,Foundation Design Laboratory,B,Face-to-Face Instruction,6,0,Staff,M W F,8:00AM,11:50AM,CO 406,00X
80957,ARCH-1015,Foundation Design Laboratory,B,Face-to-Face Instruction,6,0,Staff,M W F,8:00AM,11:50AM,CO 205,00X
80958,ARCH-1015,Foundation Design Laboratory,B,Face-to-Face Instruction,6,0,Staff,M W F,8:00AM,11:50AM,CO 406,00X
80959,ARCH-1015,Foundation Design Laboratory,B,Face-to-Face Instruction,6,0,Staff,M W F,8:00AM,11:50AM,CO 401,00X
80960,ARCH-1015,Foundation Design Laboratory,B,Face-to-Face Instruction,6,0,Staff,M W F,8:00AM,11:50AM,CO 305,00X
80961,ARCH-1015,Foundation Design Laboratory,B,Face-to-Face Instruction,6,0,Staff,M W F,8:00AM,11:50AM,CO 402,00X
80962,ARCH-1015,Foundation Design Laboratory,B,Face-to-Face Instruction,6,0,Staff,M W F,8:00AM,11:50AM,CO 302,00X
80963,ARCH-1015,Foundation Design Laboratory,B,Face-to-Face Instruction,6,0,Staff,M W F,8:00AM,11:50AM,CO 301,00X
80964,ARCH-1015,Foundation Design Laboratory,B,Face-to-Face Instruction,6,0,Staff,M W F,8:00AM,11:50AM,CO 101,00X
80965,ARCH-1044,Life in the Built Environment,ONLINE COURSE - VL,Online: Asynchronous,3,3000,G Tew,(ARR),----- (ARR) -----,ONLINE,00X,
80966,ARCH-2015,Architecture II,B,Face-to-Face Instruction,7,137,Staff,M W F,1:25PM,5:15PM,BURCH 000D,00X
,,,,* Additional Times *,R,2:00PM,3:15PM,HAN 100,,,,
80967,ARCH-2015,Architecture II,B,Face-to-Face Instruction,7,0,Staff,M W F,1:25PM,5:15PM,CO 401,00X
,,,,* Additional Times *,R,2:00PM,3:15PM,HAN 100,,,,
80968,ARCH-2015,Architecture II,B,Face-to-Face Instruction,7,0,Staff,M W F,1:25PM,5:15PM,BURCH 000,00X
,,,,* Additional Times *,R,2:00PM,3:15PM,HAN 100,,,,
80969,ARCH-2015,Architecture II,B,Face-to-Face Instruction,7,0,Staff,M W F,1:25PM,5:15PM,CO 205,00X
,,,,* Additional Times *,R,2:00PM,3:15PM,HAN 100,,,,
80970,ARCH-2015,Architecture II,B,Face-to-Face Instruction,7,0,Staff,M W F,1:25PM,5:15PM,BURCH 000D,00X
,,,,* Additional Times *,R,2:00PM,3:15PM,HAN 100,,,,
80971,ARCH-2015,Architecture II,B,Face-to-Face Instruction,7,0,Staff,M W F,1:25PM,5:15PM,BURCH 000A,00X
,,,,* Additional Times *,R,2:00PM,3:15PM,HAN 100,,,,
80972,ARCH-2015,Architecture II,B,Face-to-Face Instruction,7,0,Staff,M W F,1:25PM,5:15PM,CO 402,00X
,,,,* Additional Times *,R,2:00PM,3:15PM,HAN 100,,,,
91582,ARCH-2015,Architecture II,B,Face-to-Face Instruction,7,0,Staff,M W F,1:25PM,5:15PM,TBA,00X
,,,,* Additional Times *,R,2:00PM,3:15PM,TBA,,,,
80973,ARCH-2034,Art of Building,L,Face-to-Face Instruction,2,150,PA Zellner Bassett,T R,9:30AM,10:45AM,NCB 260,09T
91113,ARCH-2114,Sustainability by Design,L,,3,30,Staff,T R,3:30PM,4:45PM,PAM 3010,15T
80974,ARCH-3015,Architecture III,B,Face-to-Face Instruction,7,116,Staff,M W F,1:25PM,5:15PM,CO 306,00X
,,,,* Additional Times *,R,2:00PM,3:15PM,HAN 100,,,,
80975,ARCH-3015,Architecture III,B,Face-to-Face Instruction,7,0,Staff,M W F,1:25PM,5:15PM,CO 302,00X
,,,,* Additional Times *,R,2:00PM,3:15PM,HAN 100,,,,
80976,ARCH-3015,Architecture III,B,Face-to-Face Instruction,7,0,Staff,M W F,1:25PM,5:15PM,CO 306,00X
,,,,* Additional Times *,R,2:00PM,3:15PM,HAN 100,,,,
80977,ARCH-3015,Architecture III,B,Face-to-Face Instruction,7,0,Staff,M W F,1:25PM,5:15PM,CO 306,00X
,,,,* Additional Times *,R,2:00PM,3:15PM,HAN 100,,,,
80978,ARCH-3015,Architecture III,B,Face-to-Face Instruction,7,0,Staff,M W F,1:25PM,5:15PM,CO 305,00X
,,,,* Additional Times *,R,2:00PM,3:15PM,HAN 100,,,,
80979,ARCH-3015,Architecture III,B,Face-to-Face Instruction,7,0,Staff,M W F,1:25PM,5:15PM,CO 301,00X
,,,,* Additional Times *,R,2:00PM,3:15PM,HAN 100,,,,
80980,ARCH-3015,Architecture III,B,Face-to-Face Instruction,7,0,Staff,M W F,1:25PM,5:15PM,CO 306,00X
,,,,* Additional Times *,R,2:00PM,3:15PM,HAN 100,,,,
80981,ARCH-3015,Architecture III,B,Face-to-Face Instruction,7,0,Staff,M W F,1:25PM,5:15PM,CO 305,00X
,,,,* Additional Times *,R,2:00PM,3:15PM,HAN 100,,,,
91583,ARCH-3015,Architecture III,B,Face-to-Face Instruction,7,0,Staff,M W F,1:25PM,5:15PM,TBA,00X
,,,,* Additional Times *,R,2:00PM,3:15PM,TBA,,,,
91526,ARCH-3065,Bldg Materials and Assemblies,L,Face-to-Face Instruction,3,120,Staff,T R,3:30PM,4:45PM,HITT 338,15T
80983,ARCH-3116,Histories of Architecture,L,Face-to-Face Instruction,3,160,DH Haney,T R,11:00AM,12:15PM,HAN 100,11T
91356,ARCH-3304,TS: European Arch Hist Theo,L,Face-to-Face Instruction,3,0,PA Doan,(ARR),----- (ARR) -----,TBA,00X,
91357,ARCH-3304,TS: Hist Theor of European Arc,L01,Face-to-Face Instruction,3,0,CR Vorster,(ARR),----- (ARR) -----,TBA,00X,
91352,ARCH-3504,TS: Rhino & Photoshop,L,,3,15,JR Jones,T,5:00PM,8:00PM,TORG 1040,17T
91353,ARCH-3504,TS: 3D Maxx,L01,,3,6,JR Jones,R,5:00PM,8:00PM,BUR 120A,17R
91358,ARCH-3504,TS: The Photographic Image,L02,,3,6,SF Martin,M,6:30PM,9:00PM,BURCH 007,18M
91360,ARCH-3504,TS: Screen Printing,L03,,3,20,CB Pritchett,W,7:00PM,10:00PM,CO 300,19W
91361,ARCH-3504,TS: Hand Building w/ Clay,L04,,3,15,ML Sullivan,T R,11:00AM,12:15PM,BURCH 000,11T
91363,ARCH-3504,TS: 3D Printing,L05,,3,0,CB Pritchett,T,5:00PM,8:00PM,BURCH 027,17T
91365,ARCH-3504,TS: Revit for Arch + Enscape,L06,,3,15,JR Jones,R,5:00PM,8:00PM,TORG 1040,17R
91506,ARCH-3504,TS: VR Tech & 3D Models,L07,,3,6,JR Jones,(ARR),----- (ARR) -----,TBA,00X,
91773,ARCH-3504,TS: Integ Comp Design & Fab,L08,Face-to-Face Instruction,3,10,R Haghnazar Kouchaksaraei,T R,11:00AM,12:15PM,CO 303,11T
91354,ARCH-3604,Top Arch & Praxis,L,,3,0,Staff,,,,,
91355,ARCH-3604,TS: Fabr. for Arch Practice,L,,3,0,Staff,,,,,
91504,ARCH-3604,Top Arch & Praxis,L,Face-to-Face Instruction,3,0,CW von Weise,(ARR),----- (ARR) -----,TBA,00X,
91505,ARCH-3604,TS: Fabr For Arch Practice,L,Face-to-Face Instruction,3,0,FP MacDowell,(ARR),----- (ARR) -----,TBA,00X,
80985,ARCH-4004,Architecture IV - Option Lab,B,Face-to-Face Instruction,7,0,CR Vorster,(ARR),----- (ARR) -----,TBA,00X,
80987,ARCH-4004,Architecture IV - Option Lab,B,Hybrid (F2F & Online Instruc.),7,0,BC Green,M W F,1:25PM,5:15PM,BURCH 000B,00X
,,,,* Additional Times *,R,2:00PM,3:15PM,ONLINE,,,,
80984,ARCH-4004,Architecture IV - Option Lab,L,Face-to-Face Instruction,7,20,Staff,M W,1:30PM,5:30PM,TBA,13M
80986,ARCH-4004,Architecture IV - Option Lab,B,Face-to-Face Instruction,7,20,Staff,M W F,1:30PM,5:30PM,TBA,00X
80988,ARCH-4004,Architecture IV - Option Lab,B,Face-to-Face Instruction,7,20,Staff,M W F,1:30PM,5:30PM,TBA,00X
80989,ARCH-4004,Architecture IV - Option Lab,B,Face-to-Face Instruction,7,0,PA Doan,(ARR),----- (ARR) -----,TBA,00X,
80992,ARCH-4014,Architecture IV - Integrative,B,Hybrid (F2F & Online Instruc.),8,0,Staff,M W F,1:25PM,5:15PM,BURCH 000D,00X
,,,,* Additional Times *,R,2:00PM,3:15PM,ONLINE,,,,
,,,,* Additional Times *,T R,3:30PM,4:45PM,BURCH 000D,,,,
80994,ARCH-4014,Architecture IV - Integrative,B,Hybrid (F2F & Online Instruc.),8,0,Staff,M W F,1:25PM,5:15PM,BURCH 000D,00X
,,,,* Additional Times *,R,2:00PM,3:15PM,ONLINE,,,,
,,,,* Additional Times *,T R,3:30PM,4:45PM,BURCH 000D,,,,
80995,ARCH-4014,Architecture IV - Integrative,B,Hybrid (F2F & Online Instruc.),8,0,JR Jones,M W F,1:25PM,5:15PM,BURCH 000B,00X
,,,,* Additional Times *,R,2:00PM,3:15PM,ONLINE,,,,
,,,,* Additional Times *,T R,3:30PM,4:45PM,BURCH 000A,,,,
80996,ARCH-4014,Architecture IV - Integrative,B,Hybrid (F2F & Online Instruc.),8,75,Staff,M W F,1:25PM,5:15PM,BURCH 000D,00X
,,,,* Additional Times *,R,2:00PM,3:15PM,ONLINE,,,,
,,,,* Additional Times *,T R,3:30PM,4:45PM,BURCH 000D,,,,
80990,ARCH-4014,Architecture IV - Integrative,B,,8,0,CW von Weise,(ARR),----- (ARR) -----,TBA,00X,
80991,ARCH-4014,Architecture IV - Integrative,B,,8,0,SF Martin,(ARR),----- (ARR) -----,TBA,00X,
80993,ARCH-4014,Architecture IV - Integrative,B,Face-to-Face Instruction,8,20,Staff,M W F,1:30PM,5:30PM,TBA,00X
80998,ARCH-4034,Building Cities,L,Face-to-Face Instruction,3,80,JM Hernandez,M,6:00PM,8:45PM,CO 300,18M
81002,ARCH-4044,Professional Practice,L,Face-to-Face Instruction,3,0,KW Jones,T,9:30AM,12:15PM,CO 304,09T
81003,ARCH-4044,Professional Practice,L,Face-to-Face Instruction,3,35,D Dugas,T R,11:00AM,12:15PM,CO 300,11T
80999,ARCH-4044,Professional Practice,L,Face-to-Face Instruction,3,20,RA Mars,W,7:15PM,10:00PM,TBA,19W
81000,ARCH-4044,Professional Practice,L,Face-to-Face Instruction,3,0,KB Sullivan,F,1:00PM,4:00PM,TBA,13F
81001,ARCH-4044,Professional Practice,L,,3,0,J Syvertsen,(ARR),----- (ARR) -----,TBA,00X,
81005,ARCH-4044,Professional Practice,ONLINE COURSE - VL,Online: Asynchronous,3,0,Staff,(ARR),----- (ARR) -----,ONLINE,00X,
81006,ARCH-4055,Envir Bldg Systems,L,Face-to-Face Instruction,3,0,Staff,T R,12:30PM,1:45PM,NCB 360,12T
81007,ARCH-4056,Envir Bldg Systems,L,Face-to-Face Instruction,3,150,TS Al Radaideh,T R,12:30PM,1:45PM,TBA,12T
81008,ARCH-4076,Building Structures,L,Face-to-Face Instruction,3,63,M Setareh,M W F,10:10AM,11:00AM,NCB 160,10M
81009,ARCH-4076,Building Structures,L,Face-to-Face Instruction,3,80,R Haghnazar Kouchaksaraei,T R,9:30AM,10:45AM,CO 300,09T
81010,ARCH-4114,Ideas-Concepts-Representations,L,Face-to-Face Instruction,3,35,A Gipe,M W,11:00AM,12:15PM,CO 400,11M
81011,ARCH-4114,Ideas-Concepts-Representations,L,Face-to-Face Instruction,3,35,Staff,T R,12:30PM,1:45PM,CO 300,12T
81012,ARCH-4114,Ideas-Concepts-Representations,L,Face-to-Face Instruction,3,20,Staff,T,4:15PM,7:00PM,TBA,16T
81014,ARCH-4434,Architectural Lighting Design,L04,Face-to-Face Instruction,3,31,RB Gibbons,T R,5:15PM,6:30PM,CO 400,17T
81015,ARCH-4434,Architectural Lighting Design,ONLINE COURSE - VL,Online with Synchronous Mtgs.,3,31,RB Gibbons,T R,5:00PM,6:15PM,ONLINE,17T
